"Database"	"Slave"	"Lang_Code"	"Project_Type"
"huwiki"	"s3-analytics-slave.eqiad.wmnet"	"hu"	"wiki"
"huwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"hu"	"wikibooks"
"huwikinews"	"s3-analytics-slave.eqiad.wmnet"	"hu"	"wikinews"
"huwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"hu"	"wikiquote"
"huwikisource"	"s3-analytics-slave.eqiad.wmnet"	"hu"	"wikisource"
"hywiki"	"s3-analytics-slave.eqiad.wmnet"	"hy"	"wiki"
"hywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"hy"	"wikibooks"
"hywikiquote"	"s3-analytics-slave.eqiad.wmnet"	"hy"	"wikiquote"
"hywikisource"	"s3-analytics-slave.eqiad.wmnet"	"hy"	"wikisource"
"hzwiki"	"s3-analytics-slave.eqiad.wmnet"	"hz"	"wiki"
"iawiki"	"s3-analytics-slave.eqiad.wmnet"	"ia"	"wiki"
"iawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ia"	"wikibooks"
"idwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"id"	"wikibooks"
"idwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"id"	"wikiquote"
"idwikisource"	"s3-analytics-slave.eqiad.wmnet"	"id"	"wikisource"
"iewiki"	"s3-analytics-slave.eqiad.wmnet"	"ie"	"wiki"
"iewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ie"	"wikibooks"
"igwiki"	"s3-analytics-slave.eqiad.wmnet"	"ig"	"wiki"
"iiwiki"	"s3-analytics-slave.eqiad.wmnet"	"ii"	"wiki"
"ikwiki"	"s3-analytics-slave.eqiad.wmnet"	"ik"	"wiki"
"ilowiki"	"s3-analytics-slave.eqiad.wmnet"	"ilo"	"wiki"
"ilwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"il"	"wikimedia"
"iowiki"	"s3-analytics-slave.eqiad.wmnet"	"io"	"wiki"
"iswiki"	"s3-analytics-slave.eqiad.wmnet"	"is"	"wiki"
"iswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"is"	"wikibooks"
"iswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"is"	"wikiquote"
"iswikisource"	"s3-analytics-slave.eqiad.wmnet"	"is"	"wikisource"
"itwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikibooks"
"itwikinews"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikinews"
"itwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikiquote"
"itwikisource"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikisource"
"itwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikiversity"
"itwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"it"	"wikivoyage"
"iuwiki"	"s3-analytics-slave.eqiad.wmnet"	"iu"	"wiki"
"jawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ja"	"wikibooks"
"jawikinews"	"s3-analytics-slave.eqiad.wmnet"	"ja"	"wikinews"
"jawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ja"	"wikiquote"
"jawikisource"	"s3-analytics-slave.eqiad.wmnet"	"ja"	"wikisource"
"jawikiversity"	"s3-analytics-slave.eqiad.wmnet"	"ja"	"wikiversity"
"jbowiki"	"s3-analytics-slave.eqiad.wmnet"	"jbo"	"wiki"
"jvwiki"	"s3-analytics-slave.eqiad.wmnet"	"jv"	"wiki"
"kaawiki"	"s3-analytics-slave.eqiad.wmnet"	"kaa"	"wiki"
"kabwiki"	"s3-analytics-slave.eqiad.wmnet"	"kab"	"wiki"
"kawiki"	"s3-analytics-slave.eqiad.wmnet"	"ka"	"wiki"
"kawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ka"	"wikibooks"
"kawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ka"	"wikiquote"
"kbdwiki"	"s3-analytics-slave.eqiad.wmnet"	"kbd"	"wiki"
"kgwiki"	"s3-analytics-slave.eqiad.wmnet"	"kg"	"wiki"
"kiwiki"	"s3-analytics-slave.eqiad.wmnet"	"ki"	"wiki"
"kjwiki"	"s3-analytics-slave.eqiad.wmnet"	"kj"	"wiki"
"kkwiki"	"s3-analytics-slave.eqiad.wmnet"	"kk"	"wiki"
"kkwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"kk"	"wikibooks"
"kkwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"kk"	"wikiquote"
"klwiki"	"s3-analytics-slave.eqiad.wmnet"	"kl"	"wiki"
"kmwiki"	"s3-analytics-slave.eqiad.wmnet"	"km"	"wiki"
"kmwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"km"	"wikibooks"
"knwiki"	"s3-analytics-slave.eqiad.wmnet"	"kn"	"wiki"
"knwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"kn"	"wikibooks"
"knwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"kn"	"wikiquote"
"knwikisource"	"s3-analytics-slave.eqiad.wmnet"	"kn"	"wikisource"
"koiwiki"	"s3-analytics-slave.eqiad.wmnet"	"koi"	"wiki"
"kowiki"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wiki"
"kowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wikibooks"
"kowikinews"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wikinews"
"kowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wikiquote"
"kowikisource"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wikisource"
"kowikiversity"	"s3-analytics-slave.eqiad.wmnet"	"ko"	"wikiversity"
"krcwiki"	"s3-analytics-slave.eqiad.wmnet"	"krc"	"wiki"
"krwiki"	"s3-analytics-slave.eqiad.wmnet"	"kr"	"wiki"
"krwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"kr"	"wikiquote"
"kshwiki"	"s3-analytics-slave.eqiad.wmnet"	"ksh"	"wiki"
"kswiki"	"s3-analytics-slave.eqiad.wmnet"	"ks"	"wiki"
"kswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ks"	"wikibooks"
"kswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ks"	"wikiquote"
